Thread Count,Latency_8_100_1024,Latency_8_100_10240,Latency_8_100_4096,Latency_8_100_8192
1,20210183531,212408795604,81031759231,168208893981
4,9613387121,256727487921,87050943959,138638224708
8,8311011053,177244656944,123150862453,114675111046
12,6736537319,175217812334,125027698420,142629421139
16,8795063948,170783296800,160574544469,135497030568
20,9298557070,169626089326,181143641931,130669092038
24,9144698037,158470905053,205851896851,126301797440
28,8877542081,144819608620,209770036069,140875741275
32,11248361579,160488990019,279451157431,146327865000
